[INFO][2015-11-20 16:49:13,679][org.springframework.context.support.ClassPathXmlApplicationContext]Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@2e095b5c: startup date [Fri Nov 20 16:49:13 CST 2015]; root of context hierarchy
 [INFO][2015-11-20 16:49:13,738][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loading XML bean definitions from class path resource [applicationContext.xml]
 [INFO][2015-11-20 16:50:00,087][org.springframework.context.support.ClassPathXmlApplicationContext]Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@2e095b5c: startup date [Fri Nov 20 16:50:00 CST 2015]; root of context hierarchy
 [INFO][2015-11-20 16:50:00,134][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loading XML bean definitions from class path resource [spring/applicationContext.xml]
 [INFO][2015-11-20 16:50:00,291][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loading XML bean definitions from class path resource [applicationContext-dataSources.xml]
 [INFO][2015-11-20 16:50:28,760][org.springframework.context.support.ClassPathXmlApplicationContext]Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@2e095b5c: startup date [Fri Nov 20 16:50:28 CST 2015]; root of context hierarchy
 [INFO][2015-11-20 16:50:28,812][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loading XML bean definitions from class path resource [spring/applicationContext.xml]
 [INFO][2015-11-20 16:50:28,979][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loading XML bean definitions from class path resource [spring/applicationContext-dataSources.xml]
 [INFO][2015-11-20 16:50:29,072][org.springframework.beans.factory.config.PropertyPlaceholderConfigurer]Loading properties file from class path resource [dataSource.properties]
 [INFO][2015-11-20 16:50:29,158][com.mchange.v2.log.MLog]MLog clients using log4j logging.
 [INFO][2015-11-20 16:50:29,368][com.mchange.v2.c3p0.C3P0Registry]Initializing c3p0-0.9.2.1 [built 20-March-2013 10:47:27 +0000; debug? true; trace: 10]
 [INFO][2015-11-20 16:50:29,591][org.hibernate.Version]HHH000412: Hibernate Core {5.0.3.Final}
 [INFO][2015-11-20 16:50:29,592][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
 [INFO][2015-11-20 16:50:29,593][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
 [INFO][2015-11-20 16:50:29,665][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {5.0.0.Final}
 [INFO][2015-11-20 16:50:29,783][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
 [INFO][2015-11-20 16:50:29,806][org.hibernate.engine.jdbc.env.internal.LobCreatorBuilderImpl]HHH000422: Disabling contextual LOB creation as connection was null
 [INFO][2015-11-20 16:50:30,234][org.springframework.orm.hibernate5.HibernateTransactionManager]Using DataSource [com.lj.mvn_ssh.dao.DynamicDataSource@4d62193b] of Hibernate SessionFactory for HibernateTransactionManager
 [INFO][2015-11-20 16:50:30,316][com.mchange.v2.c3p0.impl.AbstractPoolBackedDataSource]Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 5, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 1hgewap9da0gwjrubg33c|2e3f9952, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hgewap9da0gwjrubg33c|2e3f9952, idleConnectionTestPeriod -> 60, initialPoolSize -> 5, jdbcUrl -> jdbc:mysql://localhost:3306/test?useUnicode=true&characterEncoding=UTF-8, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 60, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 300, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 1, numHelperThreads -> 3, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
 
